pm25,pm10,o3,co,no2,so2
29.0,47.0,37.0,0.53,18.0,2.0
22.0,36.0,49.0,0.47,12.0,1.0
15.0,30.0,59.0,0.44,9.0,1.0
13.0,25.0,62.0,0.45,11.0,1.0
15.0,31.0,70.0,2.47,12.0,1.0
16.0,38.0,74.0,0.5,13.0,1.0
23.0,42.0,72.0,0.57,16.0,1.0
23.0,44.0,63.0,0.66,20.0,1.0
24.0,46.0,45.0,0.77,26.0,1.0
32.0,59.0,25.0,0.635,21.5,1.0
11.0,20.0,24.5,0.5,17.0,1.0
12.0,22.0,24.0,0.58,25.0,1.0
19.0,29.0,33.0,0.47,12.0,1.0
12.0,19.0,27.0,0.46,11.0,1.0
11.0,18.0,26.0,0.37,8.0,1.0
9.0,13.0,27.0,0.37,7.0,1.0
9.0,14.0,29.0,0.36,6.0,1.0
8.0,15.0,19.0,0.4,10.0,1.0
11.0,18.0,14.0,0.43,16.0,1.0
11.0,19.0,11.0,0.44,17.0,1.0
12.0,24.0,5.0,0.56,22.0,1.0
21.0,32.0,6.0,0.69,23.0,1.0
20.0,42.0,12.0,0.57,16.0,1.0
14.0,45.0,22.0,0.46,10.0,23.0
15.0,27.0,31.0,0.47,9.0,1.0
10.0,20.0,36.0,0.47,8.0,1.0
8.0,14.0,42.0,0.49,8.0,1.0
8.0,17.0,43.0,0.48,7.0,1.0
6.0,17.0,42.0,0.47,8.0,1.0
5.0,25.0,40.0,0.47,8.0,1.0
10.0,24.0,37.0,0.53,11.0,1.0
9.0,30.0,29.0,0.6,18.0,1.0
9.0,33.0,25.0,0.595,18.0,1.0
14.0,25.0,23.0,0.59,18.0,1.0
16.0,24.0,21.0,0.57,16.0,1.0
16.0,29.0,13.0,0.54,19.0,2.0
11.0,28.0,16.0,0.49,16.0,1.0
14.0,19.0,12.0,0.52,16.0,1.0
13.0,24.0,9.0,0.54,19.0,1.0
13.0,32.0,9.0,0.53,19.0,1.0
13.0,19.0,13.0,0.5,16.0,1.0
12.0,24.0,11.0,0.5,16.0,1.0
14.0,23.0,4.0,0.62,21.0,1.0
17.0,35.0,4.0,0.74,20.0,2.0
25.0,37.0,3.0,0.9,21.0,2.0
26.0,52.0,4.0,0.92,23.0,2.0
26.0,69.0,12.0,0.83,21.0,3.0
24.0,58.0,25.0,0.68,21.0,3.0
23.0,46.0,37.0,0.61,19.0,2.0
23.0,38.0,50.0,0.55,12.0,1.0
14.0,41.0,58.0,0.51,8.0,1.0
12.0,31.0,55.0,0.48,8.0,1.0
11.0,31.0,55.0,0.48,8.0,1.0
13.0,25.0,58.0,0.5,11.0,1.0
15.0,34.0,50.0,0.59,18.0,1.0
17.0,38.0,37.0,0.7,28.5,1.0
19.0,44.0,32.5,0.81,39.0,1.0
19.0,43.0,28.0,0.88,40.0,1.0
33.0,64.0,33.0,0.89,37.0,2.0
48.0,76.0,30.0,0.84,33.0,2.0
40.0,69.0,21.0,0.81,32.0,1.0
35.0,60.0,17.0,0.83,31.0,1.0
35.0,54.0,17.0,0.8,30.0,1.0
35.0,61.0,5.0,0.88,44.0,1.0
39.0,70.0,7.0,0.73,37.0,1.0
30.0,55.0,10.0,0.62,25.0,1.0
31.0,48.0,4.0,0.65,29.0,1.0
25.0,47.0,3.0,0.74,28.0,1.0
30.0,53.0,3.0,0.82,27.0,1.0
34.0,55.0,5.0,0.9,28.0,1.0
34.0,63.0,13.0,0.69,25.0,1.0
28.0,55.0,21.0,0.61,24.0,1.0
28.0,55.0,36.0,0.56,21.0,1.0
24.0,54.0,53.0,0.48,15.0,1.0
24.0,49.0,66.0,0.48,12.0,1.0
24.0,49.0,80.0,0.46,10.0,1.0
30.0,57.0,79.0,0.46,13.0,1.0
28.0,59.0,84.0,0.46,10.0,1.0
32.0,50.0,74.0,0.515,14.5,1.0
33.0,55.0,67.0,0.57,19.0,1.0
28.0,60.0,60.0,0.73,24.0,1.0
40.0,70.0,44.0,0.8,28.0,2.0
46.0,75.0,32.0,0.8,28.0,1.0
45.0,71.0,28.0,0.76,29.0,1.0
53.0,80.0,16.0,0.89,36.0,1.0
56.0,87.0,20.0,0.87,31.0,1.0
61.0,86.0,20.0,0.91,29.0,1.0
58.0,83.0,18.0,0.91,27.0,2.0
58.0,81.0,13.0,0.95,27.0,1.0
62.0,87.0,9.0,1.0,35.0,2.0
69.0,96.0,15.0,0.9,32.0,2.0
66.0,87.0,10.0,0.92,28.0,2.0
69.0,88.0,5.0,0.98,32.0,2.0
68.0,97.0,11.0,0.94,29.0,2.0
74.0,114.0,31.0,0.84,23.0,2.0
70.0,106.0,47.0,0.78,22.0,3.0
54.0,90.0,64.0,0.68,17.0,3.0
43.0,76.0,84.0,0.64,11.0,3.0
41.0,68.0,93.0,0.59,10.0,2.0
32.0,53.0,99.0,0.58,9.0,2.0
38.0,61.0,104.0,0.59,9.0,2.0
39.0,65.0,108.0,0.6399999999999999,11.5,2.0
56.0,86.0,93.5,0.69,14.0,2.0
43.0,75.0,79.0,0.66,12.0,2.0
40.0,69.0,51.0,0.68,16.0,2.0
37.0,55.0,31.0,0.74,21.0,1.0
31.0,50.0,30.0,0.75,22.0,1.0
29.0,45.0,26.0,0.76,24.0,1.0
36.0,52.0,31.0,0.67,18.0,1.0
31.0,44.0,26.0,0.68,18.0,1.0
31.0,37.0,25.0,0.64,17.0,1.0
30.0,41.0,28.0,0.59,14.0,1.0
28.0,37.0,23.0,0.58,13.0,1.0
23.0,35.0,21.0,0.55,12.0,1.0
21.0,32.0,13.0,0.6,16.0,1.0
27.0,33.0,5.0,0.71,24.0,1.0
26.0,41.0,3.0,0.92,28.0,1.0
32.0,45.0,1.0,0.97,31.0,1.0
50.0,83.0,9.0,0.98,30.0,1.0
67.0,103.0,31.0,0.79,25.0,1.0
55.0,76.0,71.0,0.64,15.0,2.0
37.0,66.0,77.0,0.6,10.0,1.0
39.0,64.0,83.0,0.55,8.0,1.0
32.0,70.0,79.0,0.5,8.0,1.0
30.0,59.0,73.0,0.495,9.0,1.0
33.0,57.0,63.0,0.49,10.0,1.0
25.0,56.0,53.0,0.51,13.0,1.0
25.0,60.0,44.0,0.57,17.0,1.0
29.0,74.0,46.0,0.73,22.0,1.0
38.0,70.0,42.0,0.79,23.0,2.0
43.0,79.0,31.0,0.83,26.0,2.0
46.0,72.0,11.0,0.98,39.0,2.0
53.0,81.0,4.0,1.03,47.0,2.0
53.0,77.0,3.0,1.04,45.0,2.0
55.0,78.0,3.0,0.98,43.0,2.0
50.0,75.0,3.0,1.01,40.0,2.0
52.0,69.0,3.0,0.97,38.0,2.0
50.0,67.0,3.0,0.95,36.0,2.0
48.0,68.0,3.0,1.02,35.0,2.0
58.0,82.0,3.0,1.1,36.0,4.0
67.0,98.0,3.0,1.19,38.0,4.0
73.0,114.0,5.0,1.2,38.0,3.0
74.0,108.0,22.0,0.9,31.0,3.0
49.0,80.0,37.0,0.8,27.0,4.0
52.0,77.0,46.0,0.7,21.0,3.0
37.0,67.0,52.0,0.56,15.0,2.0
28.0,57.0,47.0,0.48,11.0,1.0
22.0,35.0,45.0,0.47,10.5,1.0
19.0,36.0,48.0,0.46,10.0,1.0
19.0,39.0,51.0,0.49,11.0,1.0
22.0,45.0,46.0,0.52,16.0,1.0
20.0,59.0,35.0,0.61,26.0,1.0
29.0,71.0,21.0,0.71,35.0,1.0
28.0,75.0,11.0,0.9,42.0,1.0
28.0,70.0,15.0,0.98,43.0,2.0
50.0,84.0,11.0,0.95,47.0,4.0
55.0,94.0,8.0,0.96,48.0,5.0
56.0,95.0,11.0,0.91,43.0,5.0
53.0,86.0,16.0,0.8,34.0,4.0
46.0,66.0,26.0,0.65,21.0,2.0
35.0,48.0,22.0,0.7,19.0,2.0
37.0,50.0,9.0,0.89,30.0,2.0
42.0,64.0,3.0,1.12,42.0,4.0
63.0,93.0,2.0,1.09,40.0,4.0
59.0,98.0,4.0,0.81,31.0,2.0
45.0,85.0,5.0,0.79,25.0,2.0
39.0,78.0,12.0,2.94,23.0,2.0
38.0,71.0,25.0,0.59,16.0,2.0
28.0,56.0,36.0,0.53,14.0,3.0
24.0,50.0,38.0,0.45,9.0,2.0
20.0,47.0,36.0,0.45,8.5,1.5
20.0,52.0,37.0,0.45,8.0,1.0
18.0,39.0,38.0,0.42,9.0,1.0
18.0,49.0,38.0,0.43,10.0,1.0
21.0,50.0,35.5,0.45999999999999996,14.5,1.0
34.0,59.0,33.0,0.49,19.0,1.0
22.0,51.0,24.0,0.53,24.0,1.0
27.0,51.0,20.0,0.56,27.0,1.0
24.0,55.0,14.0,0.57,31.0,2.0
24.0,53.0,11.0,0.55,30.0,2.0
23.0,50.0,17.0,0.45,20.0,2.0
26.0,45.0,18.0,0.43,18.0,1.0
22.0,44.0,19.0,0.41,15.0,1.0
26.0,44.0,17.0,0.42,15.0,1.0
29.0,45.0,17.0,0.42,14.0,1.0
23.0,41.0,15.0,0.42,18.0,1.0
25.0,44.0,13.0,0.44,21.0,1.0
27.0,44.0,5.0,0.51,29.0,1.0
29.0,51.0,4.0,0.66,31.0,1.0
31.0,59.0,5.0,0.78,31.0,2.0
33.0,66.0,12.0,0.72,29.0,2.0
30.0,62.0,26.0,0.55,22.0,2.0
26.0,51.0,34.0,0.42,15.0,1.0
20.0,50.0,41.0,0.4,12.5,1.0
16.0,43.0,40.0,0.38,10.0,1.0
16.0,43.0,39.0,0.37,9.0,1.0
19.0,38.0,38.0,0.36,9.0,1.0
21.0,41.0,40.0,0.37,10.0,1.0
21.0,46.0,35.0,0.43,15.0,1.0
14.0,40.0,29.0,0.45,17.0,1.0
19.0,39.0,22.0,0.55,25.0,1.0
23.0,42.0,9.0,0.7,40.0,1.0
