pm25,pm10,o3,co,no2,so2
12.941176470588236,164.89276139410188,31.183627823753074,1.6951509054325957,12.917505030181086,3.5278336686787393
13.367647058823529,164.69973190348526,31.180049205994184,1.6969617706237425,12.927565392354126,3.5285043594902747
13.794117647058822,164.50670241286863,31.176470588235293,1.6987726358148894,12.937625754527163,3.529175050301811
14.220588235294118,164.313672922252,31.172891970476403,1.7005835010060364,12.9476861167002,3.5298457411133466
14.647058823529411,164.1206434316354,31.169313352717513,1.7023943661971832,12.95774647887324,3.5305164319248825
15.073529411764705,163.92761394101876,31.165734734958622,1.70420523138833,12.967806841046277,3.5311871227364184
15.5,163.73458445040214,31.162156117199732,1.7060160965794768,12.977867203219315,3.5318578135479544
15.926470588235293,163.54155495978551,31.15857749944084,1.7078269617706239,12.987927565392354,3.5325285043594903
16.352941176470587,163.3485254691689,31.15499888168195,1.7096378269617707,12.997987927565394,3.533199195171026
16.779411764705884,163.15549597855227,31.15142026392306,1.7114486921529175,13.008048289738431,3.533869885982562
17.205882352941178,162.96246648793567,31.14784164616417,1.7132595573440645,13.018108651911469,3.534540576794098
17.63235294117647,162.76943699731905,31.144263028405277,1.7150704225352114,13.028169014084508,3.535211267605634
18.058823529411764,162.57640750670242,31.140684410646386,1.7168812877263582,13.038229376257545,3.5358819584171695
18.485294117647058,162.3833780160858,31.137105792887496,1.7186921529175052,13.048289738430583,3.536552649228706
18.91176470588235,162.19034852546918,31.133527175128606,1.720503018108652,13.058350100603622,3.5372233400402413
19.338235294117645,161.99731903485255,31.129948557369715,1.7223138832997988,13.06841046277666,3.5378940308517772
19.764705882352942,161.80428954423593,31.126369939610825,1.7241247484909457,13.078470824949699,3.538564721663313
20.191176470588236,161.6112600536193,31.122791321851935,1.7259356136820927,13.088531187122737,3.539235412474849
20.61764705882353,161.41823056300268,31.119212704093044,1.7277464788732395,13.098591549295774,3.539906103286385
21.044117647058822,161.22520107238606,31.115634086334154,1.7295573440643863,13.108651911468813,3.540576794097921
21.470588235294116,161.03217158176943,31.112055468575264,1.7313682092555334,13.11871227364185,3.541247484909457
21.89705882352941,160.8391420911528,31.108476850816373,1.7331790744466802,13.12877263581489,3.5419181757209928
22.323529411764707,160.64611260053618,31.104898233057483,1.734989939637827,13.138832997987928,3.5425888665325287
22.75,160.45308310991956,31.101319615298593,1.7368008048289738,13.148893360160965,3.543259557344064
23.176470588235293,160.26005361930294,31.097740997539702,1.7386116700201208,13.158953722334005,3.5439302481556
23.602941176470587,160.06702412868634,31.09416237978081,1.7404225352112677,13.169014084507042,3.544600938967136
24.02941176470588,159.87399463806972,31.090583762021918,1.7422334004024145,13.179074446680081,3.545271629778672
24.455882352941174,159.6809651474531,31.087005144263028,1.7440442655935615,13.189134808853119,3.545942320590208
24.88235294117647,159.48793565683647,31.083426526504137,1.7458551307847083,13.199195171026156,3.546613011401744
25.308823529411764,159.29490616621985,31.079847908745247,1.7476659959758551,13.209255533199196,3.5472837022132797
25.735294117647058,159.10187667560322,31.076269290986357,1.7494768611670022,13.219315895372233,3.5479543930248156
26.16176470588235,158.9088471849866,31.072690673227466,1.751287726358149,13.229376257545272,3.5486250838363516
26.588235294117645,158.71581769436997,31.069112055468576,1.7530985915492958,13.23943661971831,3.549295774647887
27.01470588235294,158.52278820375335,31.065533437709686,1.7549094567404426,13.249496981891348,3.5499664654594234
27.441176470588236,158.32975871313673,31.061954819950795,1.7567203219315897,13.259557344064387,3.550637156270959
27.86764705882353,158.1367292225201,31.058376202191905,1.7585311871227365,13.269617706237424,3.551307847082495
28.294117647058822,157.94369973190348,31.05479758443301,1.7603420523138833,13.279678068410464,3.5519785378940307
28.720588235294116,157.75067024128685,31.05121896667412,1.7621529175050303,13.289738430583501,3.5526492287055667
29.14705882352941,157.55764075067023,31.04764034891523,1.7639637826961772,13.299798792756539,3.5533199195171026
29.573529411764707,157.3646112600536,31.04406173115634,1.765774647887324,13.309859154929578,3.5539906103286385
30.0,157.171581769437,31.04048311339745,1.767585513078471,13.319919517102615,3.5546613011401744
22.0,156.9785522788204,31.03690449563856,1.7693963782696178,13.329979879275655,3.5553319919517103
17.0,156.78552278820376,31.03332587787967,1.7712072434607646,13.340040241448692,3.5560026827632463
18.0,156.59249329758714,31.02974726012078,1.7730181086519115,13.35010060362173,3.5566733735747817
14.0,156.39946380697052,31.02616864236189,1.7748289738430585,13.360160965794769,3.557344064386318
22.0,156.2064343163539,31.022590024602998,1.7766398390342053,13.370221327967807,3.5580147551978536
20.0,156.01340482573727,31.019011406844108,1.7784507042253521,13.380281690140846,3.5586854460093895
16.0,155.82037533512064,31.015432789085217,1.7802615694164992,13.390342052313883,3.5593561368209254
26.0,155.62734584450402,31.011854171326327,1.782072434607646,13.400402414486921,3.5600268276324614
35.0,155.4343163538874,31.008275553567437,1.7838832997987928,13.41046277665996,3.5606975184439973
21.0,155.24128686327077,31.004696935808543,1.7856941649899396,13.420523138832998,3.561368209255533
7.0,155.04825737265415,31.001118318049652,1.7875050301810866,13.430583501006037,3.562038900067069
7.0,154.85522788203752,30.997539700290762,1.7893158953722335,13.440643863179075,3.562709590878605
11.0,154.6621983914209,30.99396108253187,1.7911267605633803,13.450704225352112,3.563380281690141
16.0,154.46916890080428,30.99038246477298,1.7929376257545273,13.460764587525151,3.5640509725016765
12.0,154.27613941018768,30.98680384701409,1.7947484909456741,13.470824949698189,3.564721663313213
15.0,154.08310991957106,30.9832252292552,1.796559356136821,13.480885311871228,3.5653923541247483
17.0,153.89008042895443,30.97964661149631,1.798370221327968,13.490945674044266,3.5660630449362842
23.0,153.6970509383378,30.97606799373742,1.8001810865191148,13.501006036217303,3.56673373574782
22.0,153.5040214477212,30.97248937597853,1.8019919517102616,13.511066398390343,3.567404426559356
25.0,153.31099195710456,30.96891075821964,1.8038028169014084,13.52112676056338,3.568075117370892
28.0,153.11796246648794,30.965332140460745,1.8056136820925555,13.53118712273642,3.568745808182428
29.0,152.92493297587131,30.961753522701855,1.8074245472837023,13.541247484909457,3.569416498993964
24.0,152.7319034852547,30.958174904942965,1.809235412474849,13.551307847082494,3.5700871898054998
33.0,152.53887399463807,30.954596287184074,1.8110462776659961,13.561368209255534,3.5707578806170357
27.0,152.34584450402144,30.951017669425184,1.812857142857143,13.571428571428571,3.571428571428571
16.0,152.15281501340482,30.947439051666294,1.8146680080482898,13.58148893360161,3.5720992622401075
2.0,151.9597855227882,30.943860433907403,1.8164788732394368,13.591549295774648,3.572769953051643
12.0,151.76675603217157,30.940281816148513,1.8182897384305836,13.601609657947686,3.573440643863179
8.0,151.57372654155495,30.936703198389623,1.8201006036217304,13.611670020120725,3.574111334674715
14.0,151.38069705093835,30.933124580630732,1.8219114688128772,13.621730382293762,3.574782025486251
21.0,151.18766756032173,30.929545962871842,1.8237223340040243,13.631790744466802,3.5754527162977867
27.0,150.9946380697051,30.92596734511295,1.825533199195171,13.64185110663984,3.5761234071093226
30.0,150.80160857908848,30.92238872735406,1.827344064386318,13.651911468812877,3.5767940979208586
40.0,150.60857908847186,30.91881010959517,1.829154929577465,13.661971830985916,3.5774647887323945
31.0,150.41554959785523,30.915231491836277,1.8309657947686118,13.672032193158953,3.5781354795439304
35.0,150.2225201072386,30.911652874077387,1.8327766599597586,13.682092555331993,3.578806170355466
26.0,150.02949061662198,30.908074256318496,1.8345875251509054,13.69215291750503,3.5794768611670023
25.0,149.83646112600536,30.904495638559606,1.8363983903420524,13.702213279678068,3.5801475519785377
30.0,149.64343163538874,30.900917020800716,1.8382092555331992,13.712273641851107,3.5808182427900737
28.0,149.4504021447721,30.897338403041825,1.840020120724346,13.722334004024145,3.5814889336016096
39.0,149.2573726541555,30.893759785282935,1.841830985915493,13.732394366197184,3.5821596244131455
18.0,149.06434316353887,30.890181167524045,1.84364185110664,13.742454728370221,3.5828303152246814
16.0,148.87131367292224,30.886602549765154,1.8454527162977867,13.752515090543259,3.5835010060362174
24.0,148.67828418230562,30.883023932006264,1.8472635814889338,13.762575452716298,3.5841716968477533
38.0,148.48525469168902,30.879445314247373,1.8490744466800806,13.772635814889336,3.584842387659289
33.0,148.2922252010724,30.87586669648848,1.8508853118712274,13.782696177062375,3.585513078470825
28.0,148.09919571045577,30.87228807872959,1.8526961770623742,13.792756539235413,3.5861837692823606
30.0,147.90616621983915,30.8687094609707,1.8545070422535213,13.80281690140845,3.586854460093897
19.0,147.71313672922253,30.86513084321181,1.856317907444668,13.81287726358149,3.5875251509054324
18.0,147.5201072386059,30.861552225452918,1.8581287726358149,13.822937625754527,3.5881958417169684
12.0,147.32707774798928,30.857973607694028,1.859939637826962,13.832997987927566,3.5888665325285043
15.0,147.13404825737265,30.854394989935138,1.8617505030181087,13.843058350100604,3.58953722334004
13.0,146.94101876675603,30.850816372176247,1.8635613682092556,13.853118712273641,3.590207914151576
16.0,146.7479892761394,30.847237754417357,1.8653722334004026,13.86317907444668,3.590878604963112
12.0,146.55495978552278,30.843659136658466,1.8671830985915494,13.873239436619718,3.591549295774648
12.0,146.36193029490616,30.840080518899576,1.8689939637826962,13.883299798792757,3.592219986586184
35.0,146.16890080428954,30.836501901140686,1.870804828973843,13.893360160965795,3.59289067739772
16.0,145.9758713136729,30.832923283381795,1.87261569416499,13.903420523138832,3.5935613682092553
8.0,145.7828418230563,30.829344665622905,1.874426559356137,13.913480885311872,3.5942320590207912
6.0,145.5898123324397,30.82576604786401,1.8762374245472837,13.92354124748491,3.594902749832327
13.0,145.39678284182307,30.82218743010512,1.8780482897384307,13.933601609657948,3.595573440643863
16.0,145.20375335120644,30.81860881234623,1.8798591549295776,13.943661971830986,3.596244131455399
7.0,145.01072386058982,30.81503019458734,1.8816700201207244,13.953722334004024,3.596914822266935
2.0,144.8176943699732,30.81145157682845,1.8834808853118714,13.963782696177063,3.597585513078471
4.0,144.62466487935657,30.80787295906956,1.8852917505030182,13.9738430583501,3.5982562038900068
13.0,144.43163538873995,30.80429434131067,1.887102615694165,13.98390342052314,3.5989268947015427
16.0,144.23860589812332,30.80071572355178,1.8889134808853119,13.993963782696177,3.599597585513078
18.0,144.0455764075067,30.79713710579289,1.890724346076459,14.004024144869215,3.6002682763246145
12.0,143.85254691689008,30.793558488033998,1.8925352112676057,14.014084507042254,3.60093896713615
10.0,143.65951742627345,30.789979870275108,1.8943460764587525,14.024144869215291,3.601609657947686
6.0,143.46648793565683,30.786401252516214,1.8961569416498996,14.03420523138833,3.602280348759222
7.0,143.2734584450402,30.782822634757323,1.8979678068410464,14.044265593561368,3.602951039570758
3.0,143.0804289544236,30.779244016998433,1.8997786720321932,14.054325955734406,3.6036217303822937
4.5,142.88739946380696,30.775665399239543,1.90158953722334,14.064386317907445,3.6042924211938296
6.0,142.69436997319036,30.772086781480652,1.903400402414487,14.074446680080483,3.6049631120053656
7.5,142.50134048257374,30.768508163721762,1.9052112676056339,14.084507042253522,3.6056338028169015
9.0,142.30831099195711,30.76492954596287,1.9070221327967807,14.09456740442656,3.6063044936284374
13.0,142.1152815013405,30.76135092820398,1.9088329979879277,14.104627766599597,3.606975184439973
14.0,141.92225201072387,30.75777231044509,1.9106438631790745,14.114688128772636,3.6076458752515093
11.0,141.72922252010724,30.7541936926862,1.9124547283702213,14.124748490945674,3.6083165660630447
22.0,141.53619302949062,30.75061507492731,1.9142655935613684,14.134808853118713,3.6089872568745807
42.0,141.343163538874,30.74703645716842,1.9160764587525152,14.14486921529175,3.6096579476861166
24.0,141.15013404825737,30.74345783940953,1.917887323943662,14.154929577464788,3.6103286384976525
15.0,140.95710455764075,30.73987922165064,1.9196981891348088,14.164989939637827,3.6109993293091884
12.0,140.76407506702412,30.736300603891745,1.9215090543259559,14.175050301810865,3.6116700201207244
15.0,140.5710455764075,30.732721986132855,1.9233199195171027,14.185110663983904,3.6123407109322603
8.0,140.37801608579088,30.729143368373965,1.9251307847082495,14.195171026156942,3.613011401743796
9.0,140.18498659517428,30.725564750615074,1.9269416498993965,14.20523138832998,3.613682092555332
14.0,139.99195710455763,30.721986132856184,1.9287525150905434,14.215291750503019,3.6143527833668676
6.0,139.79892761394103,30.718407515097294,1.9305633802816902,14.225352112676056,3.615023474178404
17.0,139.6058981233244,30.714828897338403,1.9323742454728372,14.235412474849095,3.6156941649899395
19.0,139.41286863270778,30.711250279579513,1.934185110663984,14.245472837022133,3.6163648558014754
21.0,139.21983914209116,30.707671661820623,1.9359959758551308,14.25553319919517,3.6170355466130113
33.0,139.02680965147454,30.704093044061732,1.9378068410462777,14.26559356136821,3.6177062374245472
34.0,138.8337801608579,30.700514426302842,1.9396177062374247,14.275653923541247,3.618376928236083
25.0,138.6407506702413,30.696935808543948,1.9414285714285715,14.285714285714286,3.619047619047619
30.0,138.44772117962466,30.693357190785058,1.9432394366197183,14.295774647887324,3.619718309859155
19.0,138.25469168900804,30.689778573026167,1.9450503018108654,14.305835010060362,3.620389000670691
19.0,138.06166219839142,30.686199955267277,1.9468611670020122,14.3158953722334,3.621059691482227
21.0,137.8686327077748,30.682621337508387,1.948672032193159,14.325955734406438,3.6217303822937623
22.0,137.67560321715817,30.679042719749496,1.950482897384306,14.336016096579478,3.6224010731052987
22.0,137.48257372654155,30.675464101990606,1.9522937625754528,14.346076458752515,3.623071763916834
26.0,137.28954423592495,30.671885484231716,1.9541046277665997,14.356136820925553,3.62374245472837
24.0,137.0965147453083,30.668306866472825,1.9559154929577465,14.366197183098592,3.624413145539906
32.0,136.9034852546917,30.664728248713935,1.9577263581488935,14.37625754527163,3.625083836351442
35.0,136.71045576407508,30.661149630955045,1.9595372233400403,14.386317907444669,3.625754527162978
40.0,136.51742627345845,30.657571013196154,1.9613480885311871,14.396378269617706,3.626425217974514
38.0,136.32439678284183,30.653992395437264,1.9631589537223342,14.406438631790744,3.6270959087860497
45.0,136.1313672922252,30.650413777678374,1.964969818913481,14.416498993963783,3.6277665995975856
31.0,135.93833780160858,30.64683515991948,1.9667806841046278,14.42655935613682,3.6284372904091216
42.0,135.74530831099196,30.64325654216059,1.9685915492957746,14.43661971830986,3.629107981220657
35.0,135.55227882037534,30.6396779244017,1.9704024144869217,14.446680080482897,3.6297786720321934
38.0,135.3592493297587,30.63609930664281,1.9722132796780685,14.456740442655935,3.630449362843729
48.0,135.1662198391421,30.63252068888392,1.9740241448692153,14.466800804828974,3.631120053655265
46.0,134.97319034852546,30.628942071125028,1.9758350100603623,14.476861167002012,3.6317907444668007
32.0,134.78016085790884,30.625363453366138,1.9776458752515091,14.486921529175051,3.6324614352783366
30.0,134.58713136729222,30.621784835607247,1.979456740442656,14.496981891348089,3.6331321260898726
40.0,134.39410187667562,30.618206217848357,1.981267605633803,14.507042253521126,3.6338028169014085
40.0,134.20107238605897,30.614627600089467,1.9830784708249498,14.517102615694165,3.6344735077129444
31.0,134.00804289544237,30.611048982330576,1.9848893360160966,14.527162977867203,3.6351441985244803
26.0,133.81501340482575,30.607470364571682,1.9867002012072434,14.537223340040242,3.6358148893360163
17.0,133.62198391420912,30.603891746812792,1.9885110663983905,14.54728370221328,3.6364855801475517
21.0,133.4289544235925,30.6003131290539,1.9903219315895373,14.557344064386317,3.637156270959088
25.0,133.23592493297588,30.59673451129501,1.9921327967806841,14.567404426559357,3.6378269617706236
29.0,133.04289544235925,30.59315589353612,1.9939436619718311,14.577464788732394,3.6384976525821595
31.0,132.84986595174263,30.58957727577723,1.995754527162978,14.587525150905433,3.6391683433936954
34.0,132.656836461126,30.58599865801834,1.9975653923541248,14.59758551307847,3.6398390342052314
37.0,132.46380697050938,30.58242004025945,1.9993762575452718,14.607645875251508,3.6405097250167673
47.0,132.27077747989276,30.57884142250056,2.0011871227364186,14.617706237424548,3.641180415828303
70.0,132.07774798927613,30.57526280474167,2.0029979879275652,14.627766599597585,3.641851106639839
73.0,131.8847184986595,30.57168418698278,2.0048088531187123,14.637826961770624,3.642521797451375
70.0,131.69168900804289,30.56810556922389,2.0066197183098593,14.647887323943662,3.643192488262911
62.0,131.4986595174263,30.564526951464998,2.0084305835010063,14.6579476861167,3.6438631790744465
76.0,131.30563002680964,30.560948333706108,2.010241448692153,14.668008048289739,3.644533869885983
75.0,131.11260053619304,30.557369715947214,2.0120523138833,14.678068410462776,3.6452045606975183
52.0,130.91957104557642,30.553791098188324,2.0138631790744466,14.688128772635816,3.6458752515090542
57.0,130.7265415549598,30.550212480429433,2.0156740442655936,14.698189134808853,3.64654594232059
50.0,130.53351206434317,30.546633862670543,2.0174849094567406,14.70824949698189,3.647216633132126
56.0,130.34048257372655,30.543055244911653,2.0192957746478877,14.71830985915493,3.647887323943662
45.0,130.14745308310992,30.539476627152762,2.0211066398390343,14.728370221327967,3.648558014755198
36.0,129.9544235924933,30.535898009393872,2.022917505030181,14.738430583501007,3.649228705566734
63.0,129.76139410187668,30.53231939163498,2.024728370221328,14.748490945674044,3.6498993963782698
69.0,129.56836461126005,30.52874077387609,2.026539235412475,14.758551307847082,3.6505700871898057
64.0,129.37533512064343,30.5251621561172,2.028350100603622,14.768611670020121,3.651240778001341
50.0,129.1823056300268,30.52158353835831,2.030160965794769,14.778672032193159,3.651911468812877
40.0,128.98927613941018,30.518004920599417,2.0319718309859156,14.788732394366198,3.652582159624413
31.0,128.79624664879356,30.514426302840526,2.033782696177062,14.798792756539235,3.653252850435949
21.0,128.60321715817696,30.510847685081636,2.0355935613682092,14.808853118712273,3.653923541247485
22.0,128.4101876675603,30.507269067322746,2.0374044265593563,14.818913480885312,3.654594232059021
27.0,128.2171581769437,30.503690449563855,2.0392152917505033,14.82897384305835,3.6552649228705567
16.0,128.0241286863271,30.500111831804965,2.04102615694165,14.839034205231389,3.6559356136820926
26.0,127.83109919571046,30.496533214046075,2.042837022132797,14.849094567404427,3.6566063044936286
33.0,127.63806970509384,30.492954596287184,2.0446478873239435,14.859154929577464,3.657276995305164
32.0,127.44504021447722,30.489375978528294,2.0464587525150906,14.869215291750503,3.6579476861167004
51.0,127.2520107238606,30.485797360769403,2.0482696177062376,14.879275653923541,3.658618376928236
44.0,127.05898123324397,30.482218743010513,2.0500804828973846,14.88933601609658,3.659289067739772
64.0,126.86595174262735,30.478640125251623,2.0518913480885312,14.899396378269618,3.6599597585513077
58.0,126.67292225201072,30.475061507492732,2.053702213279678,14.909456740442655,3.6606304493628437
41.0,126.4798927613941,30.471482889733842,2.055513078470825,14.919517102615695,3.6613011401743796
37.0,126.28686327077747,30.46790427197495,2.057323943661972,14.929577464788732,3.6619718309859155
43.0,126.09383378016085,30.464325654216058,2.059134808853119,14.939637826961771,3.6626425217974514
46.0,125.90080428954424,30.460747036457168,2.060945674044266,14.949698189134809,3.6633132126089873
46.0,125.70777479892762,30.457168418698277,2.0627565392354126,14.959758551307846,3.6639839034205233
42.0,125.51474530831099,30.453589800939387,2.064567404426559,14.969818913480886,3.6646545942320587
43.0,125.32171581769438,30.450011183180496,2.066378269617706,14.979879275653923,3.665325285043595
43.0,125.12868632707776,30.446432565421606,2.0681891348088532,14.989939637826962,3.6659959758551306
36.0,124.93565683646113,30.442853947662716,2.0700000000000003,15.0,3.6666666666666665
34.0,124.74262734584451,30.439275329903825,2.071810865191147,15.010060362173038,3.6673373574782024
32.0,124.54959785522789,30.435696712144935,2.073621730382294,15.020120724346077,3.6680080482897384
26.0,124.35656836461126,30.432118094386045,2.0754325955734405,15.030181086519114,3.6686787391012743
19.0,124.16353887399464,30.428539476627154,2.0772434607645875,15.040241448692154,3.66934942991281
25.0,123.97050938337802,30.42496085886826,2.0790543259557346,15.050301810865191,3.670020120724346
28.0,123.77747989276139,30.42138224110937,2.0808651911468816,15.060362173038229,3.670690811535882
28.0,123.58445040214477,30.41780362335048,2.082676056338028,15.070422535211268,3.671361502347418
32.0,123.39142091152814,30.41422500559159,2.084486921529175,15.080482897384305,3.6720321931589535
32.0,123.19839142091153,30.4106463878327,2.086297786720322,15.090543259557345,3.67270288397049
73.0,123.00536193029491,30.40706777007381,2.088108651911469,15.100603621730382,3.6733735747820253
74.0,122.81233243967829,30.40348915231492,2.089919517102616,15.11066398390342,3.6740442655935612
67.0,122.61930294906166,30.399910534556028,2.091730382293763,15.120724346076459,3.674714956405097
73.0,122.42627345844505,30.396331916797138,2.0935412474849096,15.130784708249497,3.675385647216633
71.0,122.23324396782843,30.392753299038247,2.095352112676056,15.140845070422536,3.676056338028169
61.0,122.0402144772118,30.389174681279357,2.097162977867203,15.150905432595573,3.676727028839705
47.0,121.84718498659518,30.385596063520467,2.09897384305835,15.160965794768611,3.677397719651241
60.0,121.65415549597856,30.382017445761576,2.1007847082494973,15.17102615694165,3.6780684104627768
55.0,121.46112600536193,30.378438828002686,2.102595573440644,15.181086519114688,3.6787391012743127
50.0,121.26809651474531,30.374860210243792,2.104406438631791,15.191146881287727,3.679409792085848
40.0,121.07506702412869,30.371281592484902,2.1062173038229375,15.201207243460765,3.6800804828973845
51.0,120.88203753351206,30.36770297472601,2.1080281690140845,15.211267605633802,3.68075117370892
52.0,120.68900804289544,30.36412435696712,2.1098390342052316,15.221327967806841,3.681421864520456
55.0,120.49597855227881,30.36054573920823,2.1116498993963786,15.231388329979879,3.682092555331992
42.0,120.3029490616622,30.35696712144934,2.113460764587525,15.241448692152918,3.682763246143528
55.0,120.10991957104558,30.35338850369045,2.1152716297786722,15.251509054325956,3.6834339369550637
50.0,119.91689008042896,30.34980988593156,2.117082494969819,15.261569416498993,3.6841046277665996
39.0,119.72386058981233,30.34623126817267,2.118893360160966,15.271629778672033,3.6847753185781356
26.0,119.53083109919572,30.34265265041378,2.120704225352113,15.28169014084507,3.6854460093896715
26.0,119.3378016085791,30.33907403265489,2.12251509054326,15.29175050301811,3.6861167002012074
26.0,119.14477211796248,30.335495414895995,2.1243259557344065,15.301810865191147,3.686787391012743
29.0,118.95174262734585,30.331916797137104,2.126136820925553,15.311871227364184,3.6874580818242793
19.0,118.75871313672923,30.328338179378214,2.1279476861167,15.321931589537224,3.6881287726358147
13.0,118.5656836461126,30.324759561619324,2.129758551307847,15.331991951710261,3.6887994634473507
32.0,118.37265415549598,30.321180943860433,2.1315694164989942,15.3420523138833,3.6894701542588866
27.0,118.17962466487936,30.317602326101543,2.133380281690141,15.352112676056338,3.6901408450704225
37.0,117.98659517426273,30.314023708342653,2.135191146881288,15.362173038229376,3.6908115358819584
33.0,117.79356568364611,30.310445090583762,2.1370020120724345,15.372233400402415,3.6914822266934944
45.0,117.60053619302948,30.306866472824872,2.1388128772635815,15.382293762575452,3.6921529175050303
61.0,117.40750670241287,30.30328785506598,2.1406237424547285,15.392354124748492,3.692823608316566
52.0,117.21447721179625,30.29970923730709,2.1424346076458756,15.40241448692153,3.693494299128102
46.0,117.02144772117963,30.2961306195482,2.144245472837022,15.412474849094567,3.6941649899396376
35.0,116.828418230563,30.29255200178931,2.146056338028169,15.422535211267606,3.694835680751174
42.0,116.63538873994639,30.28897338403042,2.147867203219316,15.432595573440643,3.6955063715627094
27.0,116.44235924932977,30.285394766271526,2.149678068410463,15.442655935613683,3.6961770623742454
17.0,116.24932975871315,30.281816148512636,2.15148893360161,15.45271629778672,3.6968477531857813
28.0,116.05630026809652,30.278237530753746,2.153299798792757,15.462776659959758,3.697518443997317
37.0,115.8632707774799,30.274658912994855,2.1551106639839035,15.472837022132797,3.698189134808853
21.0,115.67024128686327,30.271080295235965,2.15692152917505,15.482897384305835,3.698859825620389
20.0,115.47721179624665,30.267501677477075,2.158732394366197,15.492957746478874,3.699530516431925
24.0,115.28418230563003,30.263923059718184,2.160543259557344,15.503018108651911,3.700201207243461
17.0,115.0911528150134,30.260344441959294,2.162354124748491,15.513078470824949,3.700871898054997
18.0,114.89812332439678,30.256765824200404,2.1641649899396382,15.523138832997988,3.7015425888665323
17.0,114.70509383378015,30.253187206441513,2.165975855130785,15.533199195171026,3.7022132796780682
18.0,114.51206434316354,30.249608588682623,2.1677867203219314,15.543259557344065,3.702883970489604
23.0,114.31903485254692,30.24602997092373,2.1695975855130785,15.553319919517103,3.70355466130114
19.0,114.1260053619303,30.24245135316484,2.1714084507042255,15.56338028169014,3.704225352112676
31.0,113.93297587131367,30.23887273540595,2.1732193158953725,15.57344064386318,3.704896042924212
36.0,113.73994638069706,30.235294117647058,2.175030181086519,15.583501006036217,3.705566733735748
57.0,113.54691689008044,30.231715499888168,2.176841046277666,15.593561368209256,3.7062374245472838
50.0,113.35388739946382,30.228136882129277,2.1786519114688128,15.603621730382294,3.7069081153588197
46.0,113.16085790884719,30.224558264370387,2.18046277665996,15.613682092555331,3.707578806170355
42.0,112.96782841823057,30.220979646611497,2.182273641851107,15.62374245472837,3.7082494969818915
37.0,112.77479892761394,30.217401028852606,2.184084507042254,15.633802816901408,3.708920187793427
34.0,112.58176943699732,30.213822411093716,2.1858953722334005,15.643863179074447,3.709590878604963
32.0,112.3887399463807,30.210243793334826,2.187706237424547,15.653923541247485,3.710261569416499
23.0,112.19571045576407,30.206665175575935,2.189517102615694,15.663983903420522,3.710932260228035
19.0,112.00268096514745,30.203086557817045,2.191327967806841,15.674044265593562,3.7116029510395707
30.0,111.80965147453082,30.199507940058155,2.193138832997988,15.6841046277666,3.7122736418511066
20.0,111.61662198391421,30.19592932229926,2.194949698189135,15.694164989939638,3.7129443326626426
17.0,111.42359249329759,30.19235070454037,2.196760563380282,15.704225352112676,3.7136150234741785
25.0,111.23056300268097,30.18877208678148,2.1985714285714284,15.714285714285714,3.7142857142857144
40.0,111.03753351206436,30.18519346902259,2.2003822937625754,15.724346076458753,3.71495640509725
34.0,110.84450402144773,30.1816148512637,2.2021931589537225,15.73440643863179,3.7156270959087863
34.0,110.65147453083111,30.17803623350481,2.2040040241448695,15.74446680080483,3.7162977867203217
34.0,110.45844504021449,30.17445761574592,2.205814889336016,15.754527162977867,3.7169684775318577
22.0,110.26541554959786,30.170878997987028,2.207625754527163,15.764587525150905,3.7176391683433936
13.0,110.07238605898124,30.167300380228138,2.2094366197183097,15.774647887323944,3.7183098591549295
14.0,109.87935656836461,30.163721762469248,2.2112474849094568,15.784708249496981,3.7189805499664654
19.0,109.68632707774799,30.160143144710357,2.213058350100604,15.79476861167002,3.7196512407780014
30.0,109.49329758713137,30.156564526951463,2.214869215291751,15.804828973843058,3.7203219315895373
27.0,109.30026809651474,30.152985909192573,2.2166800804828974,15.814889336016096,3.720992622401073
47.0,109.10723860589812,30.149407291433683,2.218490945674044,15.824949698189135,3.721663313212609
24.0,108.91420911528151,30.145828673674792,2.220301810865191,15.835010060362173,3.7223340040241446
49.0,108.72117962466488,30.142250055915902,2.222112676056338,15.845070422535212,3.723004694835681
57.0,108.52815013404826,30.13867143815701,2.223923541247485,15.85513078470825,3.7236753856472165
54.0,108.33512064343164,30.13509282039812,2.225734406438632,15.865191146881287,3.7243460764587524
51.0,108.14209115281501,30.13151420263923,2.227545271629779,15.875251509054326,3.7250167672702883
40.0,107.94906166219839,30.12793558488034,2.2293561368209254,15.885311871227364,3.725687458081824
39.0,107.75603217158178,30.12435696712145,2.2311670020120724,15.895372233400403,3.72635814889336
34.0,107.56300268096516,30.12077834936256,2.2329778672032194,15.90543259557344,3.727028839704896
54.0,107.36997319034853,30.11719973160367,2.2347887323943665,15.915492957746478,3.727699530516432
50.0,107.17694369973191,30.11362111384478,2.236599597585513,15.925553319919517,3.728370221327968
52.0,106.98391420911528,30.11004249608589,2.23841046277666,15.935613682092555,3.729040912139504
51.0,106.79088471849866,30.106463878326995,2.2402213279678067,15.945674044265594,3.7297116029510393
45.0,106.59785522788204,30.102885260568105,2.2420321931589537,15.955734406438632,3.7303822937625757
50.0,106.40482573726541,30.099306642809214,2.243843058350101,15.96579476861167,3.731052984574111
41.0,106.2117962466488,30.095728025050324,2.245653923541248,15.975855130784709,3.731723675385647
22.0,106.01876675603218,30.092149407291434,2.2474647887323944,15.985915492957746,3.732394366197183
